severe,sévère
millerpertuis,millepertuis
utlise,utilise
equivalent,équivalent
nourrison,nourrisson
neuros,euros
demengeant,demengeant
smaine,saine
paas,pas
benzodiazepine,benzodiazépine
10mm,10mm
rique,tique
deviennet,devienne
debritdat,debritdat
20ème,20 ème
parkinane,parkinane
adec,arec
empecher,empêcher
éfficace,efficace
reessaye,réessaie
generiques,generiques
biocodex,bio codex
pénicilinne,pénicilline
inquieter,inquiéter
60mg,60 mg
claritine,claritine
trinardiol,trinardiol
ferrum,ferrure
8g,8 g
koi,quoi
40ans,40 ans
essouflée,essoufflée
nuraving,nursing
minidrile,minidrile
anafronil,anafront
13janvier,13janvier
35sa,35sa
eventualité,éventualité
pectinata,pectinata
15j,15 j
somnifere,somnifère
antidep,antidep
staphylo,staphylome
diabete,diabète
antivertigineux,anti vertigineux
2eme,2 eme
rescent,ressent
jy,j’y
passiflora,passiflore
triciclyque,tricyclique
gelsemiuim,gelsemiuim
bruler,brûler
soprol,soprol
pharingite,pharyngite
tolere,toléré
sd,se
sécu,sucé
yoyo,yo-yo
1autre,1autre
betoptic,betoptic
pre,pré
dapis,dais
areté,arête
tosilate,tosilate
traiment,traient
plusa,pulsa
sterilet,stérilet
lune34,lune34
surgestonne,surgeonne
triglycerides,triglycérides
dûes,dues
rest,rets
anticonvulsivant,anticonvulsivant
induies,induise
normalment,normalement
2jours,2 jours
12sa,12sa
medecins,médecins
 mèrci, mèrci
pendan,pendant
mem,me
commencait,commençait
methioninum,methioninum
labelrouxe,labelrouxe
lotre,litre
debuter,débuter
proitrine,poitrine
bcaa,bcaa
paxil,axile
triafémi,triafémi
clavulanate,clavulanate
8j,8 j
traitememnt,traitement
inocuité,innocuité
trophygilles,trophygilles
remedier,remédier
dosees,dosées
ptit,prit
normodosée,normodosée
schoen,Schoten
riende,rende
carectéristques,caractéristiques
echec,échec
biovéa,fovéa
8ième,8ième
apétit,appétit
cel,quel
kenacort,kenacort
tranxène,transgène
true,grue
norflex,norflex
sest,s’est
qi,QI
lp50mg,lp50 mg
1ans,1 ans
tardyféron,tardyféron
holgyème,holgyème
sterilets,stérilets
vasastrel,vasastrel
prennais,prenais
gonfe,gonde
sias,sais
aupparavant,auparavant
dudu,dodu
apetit,petit
efféralgan,efféralgan
grace,grasse
nevralgie,névralgie
nauseuse,nauséeuse
sériane,sérine
kilogest,kilogest
carlin20,carlin20
mellifica,mellifica
pchit,pschitt
calin,câlin
una,nua
disgestions,digestions
mé,mai
lun,l’un
linterieur,linterieur
lev28vr,lev28vr
hydan,hydne
monodosée,mono dosée
pacth,patch
cutanee,cutanée
ej,je
vigra,givra
cyt,cit
rappeller,rappeler
désagréements,désagréments
12ème,12 ème
varnoline,varnoline
demangeaison,démangeaison
holgième,holgième
suos,sous
auparavent,auparavant
courrir,courir
connaitriez,connaîtriez
dun,d’un
emconcor,emconcor
trèès,très
skénan,kényan
23h30,23h30
métho,métro
metronidazole,métronidazole
arrivee,arrivée
déja,déjà
depassai,dépassai
doi,soi
loccurence,occurrence
aturgil,aturgil
pelule,pelle
fati,fait
ossi,aussi
protégee,protégée
nan,ban
por,pro
sterimar,sterimar
remplacable,remplaçable
coediné,coediné
reglementaires,réglementaires
9eme,9 eme
partum,parfum
eucaliptine,eucaliptine
hexal,hexal
vancomycin,vancomycine
paraxetine,paraxetine
oestrodose,oestrodose
oeuf,œuf
tps,pts
hélicidine,hélicidine
alprozolam,alprozolam
antiténanique,antitétanique
epargnez,épargnez
tendinopathies,tendinopathies
5mui,5mui
aujourdh,aujourdh
demangeaisons,démangeaisons
protege,protégé
levthyroxine,lev thyroxine
nuxe,nixe
ttes,tes
porrai,portai
glamoxyl,glamoxyl
resenti,ressenti
22e,22e
bizone,biozone
utilisee,utilisée
probleme,problème
 qui,qui
complement,complément
presents,présents
plait,plaît
peuven,peuvent
desormais,désormais
prochaîne,prochaine
précédement,précédemment
voltaréne,voltaréne
grossessses,grossesses
prometrium,pomerium
biogaran,biogaran
reguliere,régulière
nutri,nu tri
eviterait,éviterait
homéophatie,homéopathie
hemorroide,hémorroïde
phosphorus,phosphores
xeroquel,xeroquel
etions,étions
anafranyl,anafranyl
luysanxia,luysanxia
kardégic,kardégic
cerrazette,cerrazette
intermittants,intermittents
20000ui,20000ui
ludal,ludal
dela,delà
disoudre,dissoudre
rnale,rénale
entammer,entamer
jof,tof
monalisa,moralisa
arréte,arrête
curacné,curacné
eg,eh
gt,g
supossitoire,suppositoire
surpoid,surpoids
nutergia,nutergia
strip,trip
coelioscopie,cœlioscopie
sup,pus
lidibo,libido
gde,de
nexium,nexium
stoop,stop
athme,asthme
hui,Huy
aperçevoir,apercevoir
anxieter,anxieter
dependant,dépendant
tetracop,tetracop
molécuels,molécules
granion,granito
latuda,latuda
utilser,utiliser
démenge,démente
norlévo,norlévo
arret,arrêt
concer,foncer
çe,ce
100mg,100 mg
premiere,première
surgeston,surgeston
decouverte,recouverte
citr,cite
faringite,faringite
hexomedine,hexomedine
recommancais,recommandais
vidora,videra
cmp,camp
clarytine,clarytine
toujous,toujours
pausse,pause
arrét,arrêt
retablir,rétablir
keskispass,keskispass
gyno,Gino
uveline,aveline
atitude,attitude
details,détails
dopalgic,dopalgic
ulterus,ulterus
gelsemium,gelsemium
ldl,lol
proteger,protéger
apm,api
gardazil,gardazil
pillules,pilules
2x10,2x10
micoval,micoval
rgo,ego
teriflunomide,teriflunomide
ludeale,lu deale
detection,détection
 est,est
connait,connaît
4jours,4 jours
fevrier,février
1semaine,1semaine
acne,acné
32mg,32 mg
16ans,16 ans
eprouve,éprouve
pele,pelle
episodes,épisodes
hepatoclem,hepatoclem
cavec,cave
optidtil,optidtil
tou,fou
weekend,week-end
savir,ravis
welada,welada
conaissez,connaissez
enfaite,enfaîte
betaine,bétaïne
cholesthérol,cholestérol
pririx,prix
dépamide,pélamide
poconéol,poconéol
slt,sot
chlomadinone,chlomadinone
dérpessive,dépressive
dci,ci
mynocicline,mynocicline
meliodia,meliodia
9ph,9ph
envi,env
nb,n
resistante,résistante
empèche,empêche
8°c,8°c
creatine,créatine
génerique,générique
barbouillement,barbouille ment
gynergène,gynergène
pbms,pbms
génériquable,génériquable
idees,idées
ménopur,ménopur
décalogiflox,décalogiflox
imréssion,imréssion
dépréssion,dépression
tranquilisants,tranquillisants
gynecologue,gynécologue
23jours,23 jours
temperature,température
attendrent,attendent
 dire,dire
cadron,cardon
diahree,diapre
ese,esse
mnaelle,nacelle
tt380,tt380
brulûre,brûlure
depassé,dépasse
etiaxil,etiaxil
tila,tilla
servrage,servage
virbac,corbac
conseillee,conseillée
anule,annule
j10,j10
etre,être
lm1,lm1
48ans,48 ans
chque,chue
alluminium,aluminium
encorre,encore
ésoméprazole,ésoméprazole
cpr,cor
citolapram,citolapram
 11e, 11e
6g,6 g
completement,complètement
iir,kir
sutilise,s’utilise
rêgle,réglé
frequents,fréquents
curiosite,curiosité
cata,acta
nénétte,nénette
95b,95b
exam,examen
ruissèle,ruisselle
10ml,10ml
etats,états
evidemment,évidemment
janssen,jans sen
hiv,hiv
soiree,soirée
etreune,etreune
complétement,complètement
fecondation,fécondation
blan,vlan
greff,greffe
gardasil,garda sil
iec,sec
decroche,décroche
jaurai,j’aurai
vraimnt,vraiment
rhinofluimicil,rhinofluimicil
chammilla,chamailla
sensai,sensé
recommncer,recommencer
1gr,1gr
côut,coût
cb,c
redors,recors
16h00,16h00
aminees,aminées
valérie,Valérie
navais,n’avais
tit,rit
explqier,expier
thékan,thékan
génériqué,générique
europe,Europe
interragir,interagir
ypericine,ypericine
annee,année
homéophatique,homéopathique
troisieme,troisième
1c,1c
vien,vine
bj,b
commencant,commençant
10jrs,10 jrs
embete,embête
noctram,noctram
contracetif,contraceptif
ia,IA
minquiete,minquiete
5ème,5 ème
d3,d3
legere,légère
examans,examens
levemir,levemir
uvédose,uvédose
puregon,Oregon
depo,dope
concernée ,concernée
extremment,dextrement
ameliorations,améliorations
desensibilisation,désensibilisation
fete,fête
pese,pesse
3x,3x
2016 à 18,2016 à 18
altérnance,alternance
dorosz,dorosz
leger,léger
suporte,supporte
griott,griot
reveil,réveil
lefficacité,l’efficacité
sufissement,surgissement
ameliorer,améliorer
general,général
preséntent,présentent
quantite,quantité
dakin,dandin
dermalibour,dermalibour
antobiotiques,antibiotiques
vec,bec
hyperpilosité,hyper pilosité
commençer,commencer
oppréssée,oppressée
bizare,bizarre
end,en
pénicillineet,pénicilline et
resentez,ressentez
prexidine,prexidine
 pour,pour
vegetale,végétale
carrement,carrément
enchainement,enchaînement
4mois,4mois
zyprex,pyrex
syptomes,symptômes
creme,crémé
colposeptine…,colposeptine…
richters,Richter
thymorégulateurs,thermorégulateurs
thailande,Thaïlande
arrétées,arrêtées
quelqun,quelque
menstruer,menstrue
gelule,gélule
cardiosélectifs,cardiosélectifs
celon,celons
survécue,survécus
maitake,maritale
protegés,protégés
vat,bat
amoxilline,amoxilline
aedes,aèdes
antidepressives,antidépressives
decolleté,décolleté
terpone,terpine
reflexion,réflexion
tetramysal,tetramysal
constemment,constamment
helicidine,helicidine
connaitre,connaître
ts,tss
carbolevure,carbolevure
14h,14 h
ferrostrane,ferrostrane
sor,saur
pbs,pubs
trisquens,trisquens
saroten,saroten
bcg,bug
prevue,prévue
tjr,tir
picotemments,picotements
tree,tee
klipal,klipal
legeres,légères
iomeron,iomeron
3h15,3h15
sos,sos
hospira,hospice
cylcleane,cylcleane
camarche,remarche
codeine,codéine
allopatiques,allopatriques
pres,prés
havrix,havrix
copin,colin
soucsi,soucis
avere,avéré
trés,trais
orgamétril,orgamétril
fe,de
serotonine,sérotonine
rembooursé,remboursé
24mg,24 mg
varoline,caroline
smon,son
effeor,effort
img,image
21comprimés,21comprimés
seroquel,seroquel
vou,cou
quisse,suisse
qsp,qsp
seroplexe,perplexe
dej,dei
diahrrés,diaprés
40euros,40euros
tsh,tss
trinodiol,trinodiol
èpas,upas
préocupante,préoccupante
bb2,bb2
interuption,interruption
qlq,qlq
7ème,7 ème
2009 à 05,2009 à 05
neo,néo
climarome,climarome
thétanos,tétanos
simulaires,similaires
anesthesie,anesthésie
4x,4x
pps,pops
spottings,puttings
hextril,hextril
depus,dupes
depasser,dépasser
chitosan,chitosan
milligrammmes,milligrammes
j5,j5
​,e
precautions,précautions
déagréements,désagréments
19jours,19 jours
2015 à 21,2015 à 21
selenium,sélénium
triela,triera
1demi,1demi
titration,nitration
assome,assomme
peti,pite
remarker,remarquer
jous,joue
3h30,3h30
acouché,accouché
etais,étais
parcequ,parce
nausees,nausées
depressif,dépressif
400mg,400 mg
ecris,écris
inquiete,inquiété
recour,recoud
17ans,17 ans
prema,prame
sents,dents
differament,diffament
gardasyl,gardasyl
zentiva,zentiva
ventolin,ventolin
generik,generik
110mg,110 mg
tétravac,tétravac
hypérium,hypérium
19g,19 g
econzazole,econzazole
bad,bas
raphnu,raphnu
15h,15 h
régles,réglés
08h,08 h
arreterai,arrêterai
ansm,ans
hyperprotéinés,hyper protéinés
ibuprophene,ibuprophene
qqchose,chose
physiogyne,physiogyne
gestarelle,gestarelle
prens,prend
cremeuses,crémeuses
diahrée,diaprée
entiere,entière
lau,l’au
semp,sep
locoïd,locoïd
crataegus,crataegus
estce,este
mnt,ment
1mg,1 mg
rêgles,réglés
mébéverine,mébéverine
pamplemouss,pamplemousse
efflexor,efflexor
pren,prend
callendula,calendula
gonflees,gonflées
homépathie,hémopathie
diprostène,diprostène
aret,aret
enerve,énerve
lacmital,lacmital
monéva,monéva
strepsil,strepsil
creer,créer
nai,n’ai
opsite,opsine
3cmp,3cmp
extreme,extrême
souvet,souvent
clear,caler
crevee,crevée
precedent,précédent
pds,pts
séropram,séropram
hepar,hepar
jaimerai,j’aimerai
biloba,bilobé
renouveller,renouveler
ambetant,embatant
alverine,alverine
roxytromycine,roxytromycine
18janvier,18janvier
debus,de bus
ren,en
hydrocoloide,hydrocoloide
im,mi
tone,tonne
negatif,négatif
valériana,valériane
elevee,élevée
apis,pais
diance,fiance
32g,32 g
empeche,empêche
pediatre,pédiatre
infarix,infarix
ladycomp,ladycomp
brule,brûle
pouriez,pourriez
milena,mile na
govital,go vital
permett,permet
31decenbre,31decenbre
mechant,méchant
enchaines,enchaînes
3jours,3 jours
génériquer,générique
triacétine,triacétine
josacyne,josacyne
shouté,shooté
excipial,excipial
hydorcortisone,hydrocortisone
malformatif,mal formatif
questran,questran
d8,d8
extranaze,extra naze
8h,8 h
reductyl,reductyl
ulterieure,ultérieure
susi,suis
plutot,plutôt
grossessse,grossesse
harpagophytum,harpagophytum
neuro,euro
xénical,méniscal
propanolol,propranolol
arrèter,arrêter
tranxènes,transgènes
24h,24 h
gynécopour,gynéco pour
bebe,bébé
homeopatie,homéopathie
 combien,combien
romentosa,romentosa
48h,48 h
çela,cela
quelq,quels
cke,ce
exorex,exorde
candisose,candidose
different,différent
vallium,gallium
pneumologue23,pneumologue23
reagissait,réagissait
ateints,atteints
naussées,nausées
17è,17è
déturgylone,déturgylone
ophatalmo,ophtalmo
difficultes,difficultés
stérogyl,stérol
cultum,cultum
nervosite,nervosité
rubie,rubis
duver,cuver
minulette,minette
flemoxin,flemoxin
weleda,weleda
griffonia,griffonna
whey,whey
 par,par
doxycicline,doxycycline
agie,gaie
dévellopé,développé
sepia,sépia
felden,felden
risk,ris
quelquechose,quelque chose
125mg,125 mg
oligosol,oligosol
rophylac,rophylac
soeur,sœur
bibs,bobs
phamacie,pharmacie
25€,25€
orl,orl
pusi,puis
 stérilet,stérilet
héroine,héroïne
poussees,poussées
nazonex,nazonex
28comprimés,28comprimés
phos,phots
emerger,émerger
2ème,2 ème
propalgan,propalgan
modlodal,modlodal
boiron,boirons
sipralexa,sipralexa
rocéphine,Joséphine
décongestionnants,décongestionnant
rhino,Rhin
folic,dolic
apparaitre,apparaître
2c,2c
generale,générale
gynopevaryl,gynopevaryl
qiue,que
prevenir,prévenir
eps,es
6cmp,6cmp
nahco3,nahco3
plusieur,plusieurs
quétiapin,quétiapin
oesophagite,œsophagite
8mg,8 mg
longuer,longuet
nausé,sauné
nacl,nacl
tridnordiol,tridnordiol
preférence,préférence
abdo,ado
gé20,gé20
ki,qui
300mg,300 mg
epouse,épouse
abigail22,abigail22
breve,brève
aspégic,aspic
europea,Europe
bien0,bien0
quesquil,quesquil
novo,nobo
palludisme,paludisme
11jours,11 jours
gossesse,grossesse
prepause,prepause
clamydiae,chlamydiae
 à,à
dependance,dépendance
paracétamole,paracétamols
plakette,plaquette
sestompent,s’estompent
thyrosine,thyroxine
grossesse ,grossesse
inferieurs,inférieurs
neuroprotecteur,neuroprotecteur
puced,puces
16èjour,16èjour
3mois,3mois
pilosellen,piloselle
quelquun,quelqu’un
jpréféreré,jpréféreré
memes,mémés
dubai,Dubaï
precis,précis
nomal,nopal
anxieneté,ancienneté
viox,voix
fonçé,fonçai
synthetique,synthétique
oestrogène,œstrogène
interragit,interagit
2ndaires,2ndaires
nikel,nickel
control,control
14e,14e
creème,crème
soup,soul
900mg,900 mg
apparait,apparaît
gellule,cellule
nimporte,n’importe
sensiblité,sensibilité
delivrance,délivrance
reussi,réussi
5kg,5 kg
suveal,suveal
aconitum,aconit
bizzares,bizarres
fuca,fusa
incompatibilitée,incompatibilités
jpeux,jeux
11mois,11mois
lerivon,lerivon
indesirable,indésirable
20min,20 min
ajd,ad
facil,facile
